Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202004,April 2020,4,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,958830,,19935,,,0
HS,2020,202004,April 2020,4,0,1,Imports,699,India,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,1147942470,,19925902,,,0
HS,2020,202002,February 2020,4,0,1,Imports,724,Spain,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,11220,,1358,,,0
HS,2020,202003,March 2020,4,0,1,Imports,699,India,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,2342462605,,40949002,,,0
HS,2020,202002,February 2020,4,0,1,Imports,699,India,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,2153283190,,38932027,,,0
HS,2020,202006,June 2020,4,0,2,Exports,710,South Africa,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,4141773,,118047,,,0
HS,2020,202002,February 2020,4,0,2,Exports,300,Greece,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,22800,,2884,,,0
HS,2020,202005,May 2020,4,0,2,Exports,246,Finland,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,378523,,14050,,,0
HS,2020,202004,April 2020,4,0,1,Imports,276,Germany,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,265315693,,3089178,,,0
HS,2020,202001,January 2020,4,0,1,Imports,348,Hungary,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,619880,,41568,,,0
HS,2020,202006,June 2020,4,0,1,Imports,300,Greece,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,1916,,1312,,,0
HS,2020,202004,April 2020,4,0,2,Exports,233,Estonia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,6163840,,228950,,,0
HS,2020,202002,February 2020,4,0,1,Imports,276,Germany,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,208224807,,2668127,,,0
HS,2020,202003,March 2020,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,96000,,6234,,,0
HS,2020,202005,May 2020,4,0,1,Imports,348,Hungary,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,511218,,33570,,,0
